IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.11.86.94,45888,443,true,TPE,Asia Pacific,Taipei,189,10.36
83.147.13.207,11126,443,true,TPE,Asia Pacific,Taipei,187,4.11
